COUNTRY,INDICATOR,TIME_PERIOD,OBS_VALUE,UNIT,FREQUENCY,SCALE,BOP_ACCOUNTING_ENTRY
Netherlands,"Reserve assets, Total financial assets/liabilities",1999-Q3,-216.00473333334,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Reserve assets, Total financial assets/liabilities",1999-Q4,-578.163429230778,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Reserve assets, Total financial assets/liabilities",2000-Q1,42.4174492307688,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Reserve assets, Total financial assets/liabilities",2000-Q2,-1157.16600000004,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Reserve assets, Total financial assets/liabilities",2000-Q3,1045.55042307697,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Reserve assets, Total financial assets/liabilities",2000-Q4,303.905555555559,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Reserve assets, Total financial assets/liabilities",2001-Q1,-39.6982718750001,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Reserve assets, Total financial assets/liabilities",2001-Q2,-381.290253225814,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Reserve assets, Total financial assets/liabilities",2001-Q3,16.9151446153853,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Reserve assets, Total financial assets/liabilities",2001-Q4,42.1063301587319,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Reserve assets, Total financial assets/liabilities",2002-Q1,603.975177419323,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Reserve assets, Total financial assets/liabilities",2002-Q2,-971.190055555597,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Reserve assets, Total financial assets/liabilities",2002-Q3,919.807666666653,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Reserve assets, Total financial assets/liabilities",2002-Q4,-712.5454625,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Reserve assets, Total financial assets/liabilities",2003-Q1,-437.840342857145,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Reserve assets, Total financial assets/liabilities",2003-Q2,747.166891935454,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Reserve assets, Total financial assets/liabilities",2003-Q3,1250.73379393939,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Reserve assets, Total financial assets/liabilities",2003-Q4,-1980.850571875,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Reserve assets, Total financial assets/liabilities",2004-Q1,-784.8273,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Reserve assets, Total financial assets/liabilities",2004-Q2,401.134442857131,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Reserve assets, Total financial assets/liabilities",2004-Q3,-521.788824242433,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Reserve assets, Total financial assets/liabilities",2004-Q4,-9.0837515151516,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Reserve assets, Total financial assets/liabilities",2005-Q1,-399.945516129018,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Reserve assets, Total financial assets/liabilities",2005-Q2,248.096041538468,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Reserve assets, Total financial assets/liabilities",2005-Q3,-828.326503030295,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Reserve assets, Total financial assets/liabilities",2005-Q4,-812.85811875,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Reserve assets, Total financial assets/liabilities",2006-Q1,-896.916947692279,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Reserve assets, Total financial assets/liabilities",2006-Q2,1137.45216774194,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Reserve assets, Total financial assets/liabilities",2006-Q3,-25.485938461538,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Reserve assets, Total financial assets/liabilities",2006-Q4,559.293044444466,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Reserve assets, Total financial assets/liabilities",2007-Q1,-469.189765625,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Reserve assets, Total financial assets/liabilities",2007-Q2,-32.3553290322576,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Reserve assets, Total financial assets/liabilities",2007-Q3,-347.578795384608,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Reserve assets, Total financial assets/liabilities",2007-Q4,-560.6112234375,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Reserve assets, Total financial assets/liabilities",2008-Q1,85.3633838709705,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Reserve assets, Total financial assets/liabilities",2008-Q2,290.571525,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Reserve assets, Total financial assets/liabilities",2008-Q3,460.536954545446,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Reserve assets, Total financial assets/liabilities",2008-Q4,14.4974671875,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Reserve assets, Total financial assets/liabilities",2009-Q1,-660.550180952372,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Reserve assets, Total financial assets/liabilities",2009-Q2,1387.72610645159,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Reserve assets, Total financial assets/liabilities",2009-Q3,9537.2707090906,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Reserve assets, Total financial assets/liabilities",2009-Q4,-2007.04669846157,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Reserve assets, Total financial assets/liabilities",2010-Q1,721.877942857124,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Reserve assets, Total financial assets/liabilities",2010-Q2,-662.061163492067,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Reserve assets, Total financial assets/liabilities",2010-Q3,98.1189939393944,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Reserve assets, Total financial assets/liabilities",2010-Q4,51.6142484848486,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Reserve assets, Total financial assets/liabilities",2011-Q1,1175.1026046875,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
Netherlands,"Reserve assets, Total financial assets/liabilities",2011-Q2,307.959247619047,US dollar,Quarterly,Millions,"Assets, Net acquisition of financial assets"
