COUNTRY,YEAR,QUARTER,UNIT,"Assets - Other investment, Debt instruments, Deposit taking corporations, except the Central Bank","Liabilities - Other investment, Debt instruments, Deposit taking corporations, except the Central Bank","Assets - Other investment, Debt instruments","Liabilities - Portfolio investment, Equity and investment fund shares","Liabilities - Portfolio investment, Total financial assets/liabilities","Assets - Portfolio investment, Equity and investment fund shares","Liabilities - Portfolio investment, Debt securities","Net (net acquisition of financial assets less net incurrence of liabilities) - Direct investment, Total financial assets/liabilities","Net (net acquisition of financial assets less net incurrence of liabilities) - Portfolio investment, Total financial assets/liabilities","Liabilities - Direct investment, Total financial assets/liabilities","Assets - Portfolio investment, Debt securities","Assets - Direct investment, Total financial assets/liabilities","Assets - Portfolio investment, Total financial assets/liabilities"
Belgium,2013,3,US dollar,38235662500,35812415318,39403588191,2645709218,3479941855,7799413061,834232636.4,5160324736,2709269800,-8686612848,-1610201406,-3526288112,6189211655
Belgium,2013,4,US dollar,-19682488241,-22735165680,-23029137292,5461611486,-700904539.1,10391079914,-6163877005,16161633789,2775037583,-15840442583,-8316946870,321191206.2,2074133044
Belgium,2014,1,US dollar,15827464457,-4929304654,19728175670,347886463.5,31842568463,2683108590,31494682000,7708287467,-27528228463,305427879.4,1631231410,8013715346,4314340000
Belgium,2014,2,US dollar,19811998790,19448664556,10753322250,533347233.9,13396750185,7021262685,12864774024,21476480903,-3030070403,-22237426185,3345417097,-760945282.3,10366679782
Belgium,2014,3,US dollar,-13062059282,-1350744714,-13377542345,4546667682,5332724223,7755846241,786056540.9,-9042964118,5485163518,2902974409,3063367059,-6139989709,10817887741
Belgium,2014,4,US dollar,-11838150000,-4638025195,-18170910352,2828308008,-522418359.4,9498515625,-3350726367,-5354163281,5831588672,3823152539,-4190595117,-1531010742,5309170313
Belgium,2015,1,US dollar,60120262571,33709960286,69660944857,4025960714,29029710571,7533895714,25003749857,4197134429,-34533170714,3960644429,-13037355857,8157778857,-5503460143
Belgium,2015,2,US dollar,-30591689845,-23512429297,-37000050916,-613425387.1,-2983126342,2482438594,-2369700955,11327922148,4089502581,-17171489755,-1376062355,-5843567606,1106376239
Belgium,2015,3,US dollar,-4661148450,2695751250,-4312090350,648091950,2855828850,-4260954450,2207736900,7115671650,-1703047800,14710464450,5413735500,21826136100,1152781050
Belgium,2015,4,US dollar,-44124078209,-32838408203,-38543673640,3695443575,-877311886.2,5540974822,-4572755462,4203649212,11272526757,-21013864978,4854240049,-16810215766,10395214871
Belgium,2016,1,US dollar,43327207171,31647143361,51497411255,323987051.6,25072630606,7632429658,24748643555,-39426138590,32717182229,49618506755,50157383177,10192368165,57789812835
Belgium,2016,2,US dollar,829988007.7,-3146049782,11707912468,475408096.9,6473906460,3829237189,5998498363,5089463878,-9633507066,-2033752928,-6988837795,3055710951,-3159600606
Belgium,2016,3,US dollar,-29185326629,-8613674470,-24459753598,-6787986402,-7196672538,6340218258,-408686136.4,-2789338712,4738972576,329405492.4,-8797918220,-2459933220,-2457699962
Belgium,2016,4,US dollar,-21957616055,-31288335117,-3335019961,-6401382539,407841328.1,12937633242,6808144922,14142815156,-15134365898,9624192188,-27664157813,23767007344,-14726524570
Belgium,2017,1,US dollar,-331151843.1,8037087175,3143280517,1222386868,17041009957,3896091942,15818623089,-11554111412,-847578350.8,5926659674,12297339665,-5627451738,16193431606
Belgium,2017,2,US dollar,-4545186781,14453341281,-8119396463,2111682316,3628214084,2209771944,1517633898,12969873432,-2662747639,-12109109398,-1244305498,860764033.9,965466445.2
Belgium,2017,3,US dollar,-10835755962,-17657877438,-23868028308,2032071308,7000661846,1232163469,4968590538,15538885162,-6026912069,-9517846131,-257239084.6,6021039031,973749776.9
Belgium,2017,4,US dollar,10045454914,-9952441443,-12495594586,5496036514,-20353466843,9182431186,-25849503357,15034038186,21610914786,-21588544457,-7924983243,-6554506271,1257447943
Belgium,2018,1,US dollar,-17775667786,13849557357,-8857718143,-905930928.6,7608836429,-3257417857,8514767357,10825690214,-5183596643,-8862635000,5682657643,1963055214,2425239786
Belgium,2018,2,US dollar,483745133.3,5315239014,4998302548,-1205788362,-1114043595,5411749743,91744766.67,-3368343576,1165277686,-9253115038,-5360515652,-12621458614,51234090.48
Belgium,2018,3,US dollar,-21564846129,-11542960671,-28895777428,704718332.3,9184596351,-1018701748,8481040920,-1501305886,-5548203240,-1108245166,4655094858,-2609551052,3636393111
Belgium,2018,4,US dollar,2666339600,-48312566888,-2507683263,-2985935100,-17158854113,-14560999263,-14172919013,-356120700,5481062825,-22377392063,2883207975,-22733512763,-11677791288
Belgium,2019,1,US dollar,19143427429,31170111086,28878124343,1590080000,22097568914,2404428114,20507488914,14877469943,-16709469257,-15229559086,2982535771,-352089142.9,5388099657
