COUNTRY,YEAR,QUARTER,UNIT,"Gross domestic product (GDP), Current prices, US dollar","Assets - Other investment, Debt instruments, Deposit taking corporations, except the Central Bank_PGDP","Liabilities - Other investment, Debt instruments, Deposit taking corporations, except the Central Bank_PGDP","Assets - Other investment, Debt instruments_PGDP","Liabilities - Portfolio investment, Equity and investment fund shares_PGDP","Liabilities - Portfolio investment, Total financial assets/liabilities_PGDP","Assets - Portfolio investment, Equity and investment fund shares_PGDP","Liabilities - Portfolio investment, Debt securities_PGDP","Net (net acquisition of financial assets less net incurrence of liabilities) - Direct investment, Total financial assets/liabilities_PGDP","Net (net acquisition of financial assets less net incurrence of liabilities) - Portfolio investment, Total financial assets/liabilities_PGDP","Liabilities - Direct investment, Total financial assets/liabilities_PGDP","Assets - Portfolio investment, Debt securities_PGDP","Assets - Direct investment, Total financial assets/liabilities_PGDP","Assets - Portfolio investment, Total financial assets/liabilities_PGDP","Net (net acquisition of financial assets less net incurrence of liabilities) - Other investment, Total financial assets/liabilities_PGDP",Net (net acquisition of financial assets less net incurrence of liabilities) - Financial derivatives (other than reserves) and employee stock options_PGDP,"Net (net acquisition of financial assets less net incurrence of liabilities) - Financial account balance, excluding reserves and related items_PGDP",CS1_GROUP,CS2_GROUP,CS3_GROUP
"Netherlands, The",2022,4,"US dollar, Nominal (Current Prices), % of GDP",1047364000000,-17.857061181785895,-26.39720838944245,-16.081761321565377,-0.06898530738119699,12.41384760446225,2.554405111117052,12.48283291195802,2.5890926386623945,-0.6002111491324889,-10.07896971028945,9.25923134421271,-12.898990075008571,11.81363645532976,5.940921133913325,2.7071861310871856,10.649070927108436,Eurozone,NA,NA
"Netherlands, The",2023,1,"US dollar, Nominal (Current Prices), % of GDP",1154694000000,6.911061603507076,18.759073684283457,40.0573658475752,0.4348917375512473,13.667866736295505,-0.48841687442733744,13.232974998744258,1.1660302400462803,-10.873408545640665,-0.20926841729497167,3.2828750650821776,0.956761822612744,2.79445819065484,23.141072568144583,-4.088302257258212,9.170640127234895,Eurozone,NA,NA
"Netherlands, The",2023,2,"US dollar, Nominal (Current Prices), % of GDP",1154694000000,2.515090739537921,-0.00980542198712386,-5.032444268698027,-2.5359005140462583,-0.7403093598823585,0.4367184098990729,2.1809521289623053,-5.06751750888114,4.878951701489745,10.400912806682982,3.701923931708314,5.3333952974554295,4.138642341607387,7.182471605241049,-2.128153702723824,4.865752095081125,Eurozone,NA,NA
"Netherlands, The",2023,3,"US dollar, Nominal (Current Prices), % of GDP",1154694000000,4.2776127167890365,6.661311931992373,18.462923041429157,-2.307535463075066,-2.8580259490393125,-4.641087257056848,-0.5504904863106589,-4.688972388528908,0.36988436105149936,-7.452359219672052,2.1529456687226225,-12.14133160820096,-2.4881415883342255,10.79036762720125,3.06087792290236,9.532157522652692,Eurozone,NA,NA
"Netherlands, The",2023,4,"US dollar, Nominal (Current Prices), % of GDP",1154694000000,3.957800572965651,-19.738724979604985,-34.5866294726486,-2.4382911780956684,-10.44819897210291,14.903109788394156,-10.707461049513702,2.346673699872001,31.958514752434038,-10.07896971028945,4.467283134406172,-12.898990075008571,19.370392922800324,-26.201481480932237,-2.481492915830902,8.578151933113189,Eurozone,NA,NA
"Netherlands, The",2024,1,"US dollar, Nominal (Current Prices), % of GDP",1227174000000,8.818846546944444,14.470864339368337,21.81530223749851,-1.952547411532513,14.332129776217553,-4.744726055800527,16.284677187750066,12.798617371945625,-8.743108800544992,-1.0270604654270703,12.814897448283618,11.771556906518557,5.589020975672562,6.85745126789046,-0.40629407801085093,10.506665761244022,Eurozone,NA,NA
"Netherlands, The",2024,2,"US dollar, Nominal (Current Prices), % of GDP",1227174000000,-4.375397972251694,-9.480438391295774,-15.771367135222878,-2.5359005140462583,-9.362516379584314,-4.744726055800527,-6.326024580703307,-3.699803114146812,9.08666310237994,-3.461853340765042,4.819711266047031,-7.161656454585902,-0.2758532771391832,-1.1511434465989006,5.106444252443295,9.342160794212235,Eurozone,NA,NA
"Netherlands, The",2024,3,"US dollar, Nominal (Current Prices), % of GDP",1227174000000,12.359512221412777,12.571452992322197,26.228028411618897,-1.5723713950914864,7.923076354290427,0.19547240023012225,9.495447749381912,-3.512417067180367,1.708414457607479,5.9157251672541955,9.43601841140702,2.4033081000738283,9.631490811897905,11.793143472134611,-3.0752892269705323,6.913851635768905,Eurozone,NA,NA
"Netherlands, The",2024,4,"US dollar, Nominal (Current Prices), % of GDP",1227174000000,-13.080087334966354,-15.707315609033436,-31.696990365832395,0.1674657831733723,-10.44819897210291,2.747344064655868,-10.707461049513702,-1.9587577882191116,18.723092352999657,-6.986909223956831,5.202580453301651,-8.945667012175942,7.949924517631566,-12.105930866364512,2.8361253008945764,7.494528999147636,Eurozone,NA,NA
"Netherlands, The",2025,1,"US dollar, Nominal (Current Prices), % of GDP",1272011000000,21.484122360891533,27.73689479540664,44.51187922117026,2.7238195242022276,14.619805948219,-4.744726055800527,11.895986424016773,9.945531767885656,-16.735390715331864,6.078707428159033,2.9197253872804563,16.024239196044686,-2.115584767112863,9.447494058683224,4.925774950558682,7.583410061605826,Eurozone,NA,NA
