Indicator,Original_Mean,Winsorized_Mean,Original_SD,Winsorized_SD,Original_Min,Winsorized_Min,Original_Max,Winsorized_Max,N_Observations,N_Lower_Winsorized,N_Upper_Winsorized,Pct_Data_Affected,Dataset
eurozone_pgdp_weighted,0.04026176111585024,0.03670378317088357,2.1956512498373875,1.9568065661455345,-7.364331992308439,-4.305829364178446,5.571036310852087,3.345081308030226,105,6,6,11.43,net_equity_portfolio_investment_full.csv
eurozone_pgdp_simple,-1.6297508434967802,-1.624470405157145,4.022573899818243,3.655992982683678,-15.840293608039444,-9.701047479855916,7.395345482069473,3.2890743135826574,105,6,6,11.43,net_equity_portfolio_investment_full.csv
soe_pgdp_weighted,7.702058067916466,8.517404433668014,16.230779181046163,13.223383326258045,-44.86394307380306,-14.980845649787826,44.11851877268679,35.74563230248076,105,6,6,11.43,net_equity_portfolio_investment_full.csv
soe_pgdp_simple,12.634811254299812,13.400564183429422,22.511159907314088,20.453991437579283,-43.1072420364477,-14.640612979392902,71.4138983599657,64.8996295842549,105,6,6,11.43,net_equity_portfolio_investment_full.csv
baltics_pgdp_weighted,0.8528276857986745,0.8368650412340134,1.4664862734818491,1.1041375883059747,-4.303656647302753,-0.620634035996915,6.913163824580735,3.2331607716544872,105,6,6,11.43,net_equity_portfolio_investment_full.csv
baltics_pgdp_simple,0.9269254981777392,0.8782804552197878,1.764197541148963,1.2126443885369282,-5.78953494897443,-0.7966749090598405,9.147244654250429,3.346689249263795,105,6,6,11.43,net_equity_portfolio_investment_full.csv
iceland_pgdp,4.439366450609817,4.475235512976281,8.275111431047488,6.795623579713499,-14.416527528199255,-3.841574679446855,37.285930372696626,24.86721278086987,81,4,4,9.88,net_equity_portfolio_investment_no_crises.csv
eurozone_pgdp_weighted,0.17460679998278253,0.18196503941994596,1.9488895047511112,1.6445059535645994,-5.272092873948662,-3.266251219745011,5.571036310852087,2.9657212426393196,81,4,4,9.88,net_equity_portfolio_investment_no_crises.csv
eurozone_pgdp_simple,-1.553297812417234,-1.4299502320024682,3.8573514252099192,3.379237102973054,-15.840293608039444,-8.283412646848388,5.3835535031422275,3.254343450595157,81,4,4,9.88,net_equity_portfolio_investment_no_crises.csv
soe_pgdp_weighted,9.331021532963677,9.436292766927766,14.548761178601096,13.17024872512583,-30.27421153759075,-9.193887913820811,44.11851877268679,35.87321247867416,81,4,4,9.88,net_equity_portfolio_investment_no_crises.csv
soe_pgdp_simple,14.26263774910963,14.471392132546189,21.981034332048434,21.132961594723458,-23.77227239766794,-7.266583902438094,71.4138983599657,65.5245181042796,81,4,4,9.88,net_equity_portfolio_investment_no_crises.csv
baltics_pgdp_weighted,0.7875987119779608,0.7664901080322433,1.522905093544331,1.06807628719644,-4.303656647302753,-0.6215691339968468,6.913163824580735,3.241511406537831,81,4,4,9.88,net_equity_portfolio_investment_no_crises.csv
baltics_pgdp_simple,0.8474921814069387,0.7829257000821115,1.8530146823829459,1.1469706215442976,-5.78953494897443,-0.807765272261038,9.147244654250429,3.2167356339137863,81,4,4,9.88,net_equity_portfolio_investment_no_crises.csv
iceland_pgdp,1.48227351651362,2.7455873778646547,31.837891967587307,21.372269894160635,-131.52388992137946,-46.738980908010234,89.84351649249528,42.51032026530498,105,6,6,11.43,net_other_investment_full.csv
eurozone_pgdp_weighted,-0.5602628989559933,-0.47714884062488966,3.6459452874049303,3.27177483808003,-12.596464390852876,-5.340714030185036,8.233914120740465,5.194038948105175,105,6,6,11.43,net_other_investment_full.csv
eurozone_pgdp_simple,-0.31806974851218245,-0.41838158421409727,5.660105515877158,4.769080188582252,-15.162569120503209,-9.196360178804875,25.11536727783818,7.427972631037715,105,6,6,11.43,net_other_investment_full.csv
soe_pgdp_weighted,2.889997204716404,3.306320259237297,18.93042373556214,17.652030232108803,-42.04966232271581,-26.62045795281692,40.76709671966311,35.83727770348865,105,6,6,11.43,net_other_investment_full.csv
soe_pgdp_simple,1.330709646735619,1.37552685838353,13.97578165984259,12.832981789705428,-33.22178325670745,-23.155893848903,34.14673802638009,23.763437556336022,105,6,6,11.43,net_other_investment_full.csv
baltics_pgdp_weighted,-0.8990103669394821,-0.7135535525331567,8.69847474742968,8.053580217664907,-24.802271756911704,-15.780472925784814,16.382680197250703,11.838012172974622,105,6,6,11.43,net_other_investment_full.csv
baltics_pgdp_simple,-1.086478883541847,-1.0582753830086404,8.843012734574547,8.067993221753136,-26.38848291574855,-16.810279903206762,18.7032048094848,11.2193622506039,105,6,6,11.43,net_other_investment_full.csv
iceland_pgdp,1.871711221644592,2.9202787156322856,32.520200487366345,21.779896145688095,-131.52388992137946,-47.89772278067647,89.84351649249528,45.80921653673053,81,4,4,9.88,net_other_investment_no_crises.csv
eurozone_pgdp_weighted,-0.5976453586115104,-0.49003070477810734,3.6633865127192577,3.2300951732370735,-12.596464390852876,-5.342938639076715,8.233914120740465,5.170274330523898,81,4,4,9.88,net_other_investment_no_crises.csv
