COUNTRY,GROUP,YEAR,QUARTER,UNIT,"Assets - Other investment, Debt instruments, Deposit taking corporations, except the Central Bank_PGDP","Liabilities - Other investment, Debt instruments, Deposit taking corporations, except the Central Bank_PGDP","Assets - Other investment, Debt instruments_PGDP","Liabilities - Portfolio investment, Equity and investment fund shares_PGDP","Liabilities - Portfolio investment, Total financial assets/liabilities_PGDP","Assets - Portfolio investment, Equity and investment fund shares_PGDP","Liabilities - Portfolio investment, Debt securities_PGDP","Net (net acquisition of financial assets less net incurrence of liabilities) - Direct investment, Total financial assets/liabilities_PGDP","Net (net acquisition of financial assets less net incurrence of liabilities) - Portfolio investment, Total financial assets/liabilities_PGDP","Liabilities - Direct investment, Total financial assets/liabilities_PGDP","Assets - Portfolio investment, Debt securities_PGDP","Assets - Direct investment, Total financial assets/liabilities_PGDP","Assets - Portfolio investment, Total financial assets/liabilities_PGDP"
Portugal,Eurozone,2015,3,"US dollar, Nominal (Current Prices), % of GDP",-14.104276822449627,-12.192135397043087,-13.237558512802735,-2.0953138516721173,2.910654529561587,-2.5063349057314666,5.005968381233704,2.4169825026750864,-7.440821364520067,1.7624761502871007,-2.023831929227013,4.179458652962187,-4.53016683495848
Portugal,Eurozone,2015,4,"US dollar, Nominal (Current Prices), % of GDP",-2.3703658071225115,-7.1331063915723485,0.27291119798652663,0.041817038405698816,-0.944184709056109,1.5714402849406457,-0.9860017474216187,-2.729111979865266,4.9608212921797055,2.546437548666476,2.447397193796814,-0.18267443089737212,4.018837480345024
Portugal,Eurozone,2016,1,"US dollar, Nominal (Current Prices), % of GDP",-3.825617047355381,-1.2673692228325955,-4.092769076213703,-1.5580306297727504,-11.863687278968625,-0.006411648682902705,-10.305656648032233,-2.6950296622044227,8.897231154575296,3.564876666553535,-2.957907257732159,0.8698470045430524,-2.9664561243933303
Portugal,Eurozone,2016,2,"US dollar, Nominal (Current Prices), % of GDP",-1.6447222023864356,4.323144643610393,1.8374459758835195,-0.47085921909924405,-2.7550739426615403,-0.9942794672459019,-2.2820246808469373,-1.2899352559285138,4.461117344568944,2.338965795712949,2.7003228699290664,1.0490305392026145,1.7060434030710452
Portugal,Eurozone,2016,3,"US dollar, Nominal (Current Prices), % of GDP",0.3854756613607823,-6.65053795751737,0.9073837198725813,-0.3486605700876126,3.640362846850167,0.023821529646204345,3.9911890113406607,0.515411277630437,-3.5927197882171553,2.919220177552376,0.023821529646204345,3.434631456152515,0.047643059273014654
Portugal,Eurozone,2016,4,"US dollar, Nominal (Current Prices), % of GDP",-7.095701904009231,-0.7595811827451284,-8.61695677942681,0.28458137978850806,-18.340851425219032,1.3245589220796221,-18.62543280597724,-3.5991174512361273,22.172237501272736,5.432156337242847,2.5068271535861992,1.8351313976795038,3.831386076053702
Portugal,Eurozone,2017,1,"US dollar, Nominal (Current Prices), % of GDP",4.654944810562311,1.516281235591186,3.0152004728582105,0.4282626390379782,1.896316099372693,1.2114816997531535,1.4680534610594016,-5.326275435378309,4.178454396811378,6.937083108000996,4.863288797699119,1.610807674072061,6.074770497995788
Portugal,Eurozone,2017,2,"US dollar, Nominal (Current Prices), % of GDP",-6.351659002196708,-4.816158916593065,-6.253818295626967,0.21564890676449938,7.256186362298163,2.268307019045678,7.040537454990149,-3.057022928188056,6.910748761011844,0.9025306095975725,11.89862810426433,-2.156489067644994,14.16693512149829
Portugal,Eurozone,2017,3,"US dollar, Nominal (Current Prices), % of GDP",-1.3087550889779649,-2.7941389134225605,1.4045176563625246,0.17662873557533346,5.97132809747039,1.4534629685893516,5.796827418529339,-2.8132914265008946,0.755460254636864,6.818294804447767,5.273325383517902,4.007131435559481,6.72678835065788
Portugal,Eurozone,2017,4,"US dollar, Nominal (Current Prices), % of GDP",-5.720947502774192,-9.82287965939715,-7.3164988563534665,0.05759343123853523,3.1740379880879592,3.0119231451412007,3.116444557374822,-3.62198689766062,6.83655359557941,5.430847256833571,6.996535349774667,1.8109934486491384,10.010591583667368
