COUNTRY,YEAR,QUARTER,UNIT,"Gross domestic product (GDP), Current prices, US dollar","Assets - Direct investment, Total financial assets/liabilities_PGDP","Assets - Other investment, Debt instruments_PGDP","Assets - Other investment, Debt instruments, Deposit taking corporations, except the Central Bank_PGDP","Assets - Portfolio investment, Debt securities_PGDP","Assets - Portfolio investment, Equity and investment fund shares_PGDP","Assets - Portfolio investment, Total financial assets/liabilities_PGDP","Liabilities - Direct investment, Total financial assets/liabilities_PGDP","Liabilities - Other investment, Debt instruments, Deposit taking corporations, except the Central Bank_PGDP","Liabilities - Portfolio investment, Debt securities_PGDP","Liabilities - Portfolio investment, Equity and investment fund shares_PGDP","Liabilities - Portfolio investment, Total financial assets/liabilities_PGDP","Net (net acquisition of financial assets less net incurrence of liabilities) - Direct investment, Total financial assets/liabilities_PGDP","Net (net acquisition of financial assets less net incurrence of liabilities) - Portfolio investment, Total financial assets/liabilities_PGDP",EURO_PERIOD
"Estonia, Republic of",2017,1,% of GDP (annualized),27460000000,8.337988083589939e-06,-4.09668401622491e-06,8.901485129698951e-07,3.961246190554007e-06,3.022999567482706e-06,6.984245758036714e-06,9.14374387902944e-06,-9.599458349487158e-07,1.9022096816627967e-07,9.76386981903727e-08,2.878596663566524e-07,-8.05755795439503e-07,6.696386091680061e-06,Post-Euro
"Estonia, Republic of",2017,2,% of GDP (annualized),27460000000,4.053256024974777e-06,-8.85885067039455e-06,-2.0692282115687513e-06,1.0340409657402058e-05,2.386686789535532e-06,1.272709644693759e-05,6.9319442092898185e-06,-4.564747392124654e-06,1.7972836959331026e-07,6.907220521109944e-07,8.704504217043045e-07,-2.87868818431504e-06,1.1856629970890311e-05,Post-Euro
"Estonia, Republic of",2017,3,% of GDP (annualized),27460000000,1.8843342338506482e-06,-9.087511107625139e-07,-1.347197172166517e-06,9.345582598128812e-06,4.102914079780408e-06,1.344851378799942e-05,1.009599693417005e-05,-1.1953143234691102e-05,-2.9037534080340834e-07,5.349127499579846e-07,2.445374091545761e-07,-8.211662700319401e-06,1.320397637884484e-05,Post-Euro
"Estonia, Republic of",2017,4,% of GDP (annualized),27460000000,-4.798862956195969e-06,1.6043659727395513e-06,-1.182354230548316e-05,2.1185087902195147e-05,-8.505081098532831e-06,1.2680006803662323e-05,-8.872668979294455e-07,7.504397569451582e-06,3.280729982311895e-07,1.6164399646238496e-07,4.897169946935746e-07,-3.911596058266523e-06,1.2190289808968746e-05,Post-Euro
"Latvia, Republic of",2007,1,% of GDP (annualized),29463000000,1.7259184188643372e-06,2.0301782638393906e-05,8.665178041102397e-06,2.686738981943453e-06,2.6689460085530993e-07,2.953633582798763e-06,7.152775302922307e-06,2.921606230696126e-05,9.964065098598239e-07,-1.779297339035399e-07,8.184767759562838e-07,-5.426856884057969e-06,2.135156806842479e-06,Pre-Euro
"Latvia, Republic of",2007,2,% of GDP (annualized),29463000000,4.191341879864571e-06,9.75539398239221e-06,1.4093158286007507e-06,3.001659686889911e-06,9.700485573485688e-07,3.953405441269638e-06,1.498999563148072e-05,1.676536751945829e-05,-7.504149217224778e-07,-3.477532564079775e-07,-1.0798653751616142e-06,-1.0798653751616141e-05,5.033270816431252e-06,Pre-Euro
"Latvia, Republic of",2007,3,% of GDP (annualized),29463000000,2.7977379712232983e-06,2.2885496604606577e-05,1.8259903158850722e-05,1.6226880233095124e-06,6.155023536691257e-07,2.2381903769786393e-06,8.952761507914555e-06,3.6463851558276984e-05,-1.4921269179857583e-07,1.8651586474821995e-08,-1.305611053237539e-07,-6.155023536691257e-06,2.368751482302393e-06,Pre-Euro
"Latvia, Republic of",2007,4,% of GDP (annualized),29463000000,1.7306789872042888e-06,2.8693870935580204e-05,2.3855836494077304e-05,-1.337342853748769e-06,4.720033601466243e-07,-8.653394936021446e-07,5.742707548450596e-06,3.213556210331601e-05,-6.293378135288325e-07,3.3433571343719227e-07,-2.9500210009164026e-07,-4.0120285612463075e-06,-5.703373935105045e-07,Pre-Euro
"Latvia, Republic of",2008,1,% of GDP (annualized),34296000000,1.0654746533029683e-06,-1.0951682092146905e-05,-1.5842385418783486e-05,6.986719038052251e-07,-1.5370781883714952e-06,-8.209394869711395e-07,7.423388977930517e-06,-7.580590156286693e-06,6.707250276530161e-06,-1.7466797595130628e-08,6.689783478935031e-06,-6.3579143246275485e-06,-7.5107229659061695e-06,Pre-Euro
"Latvia, Republic of",2008,2,% of GDP (annualized),34296000000,2.587289188243526e-06,1.5942803096571017e-05,9.23771562281315e-06,2.4415264170748763e-06,-3.4618658152554206e-07,2.0953398355493337e-06,7.433901329601114e-06,2.330382304058781e-05,-2.131780528341496e-06,0.0,-2.131780528341496e-06,-4.84661214135759e-06,4.2271203638908305e-06,Pre-Euro
