COUNTRY,YEAR,yearly_sd_net_capital_flows_pgdp,mean_overall_restrictions_index
"Poland, Republic of",2006,1.6548336035795737,0.75
"Poland, Republic of",2007,3.3287080988614832,0.575
"Poland, Republic of",2008,4.770996245492855,0.55
"Poland, Republic of",2009,4.567186248557106,0.65
"Poland, Republic of",2010,5.440041223281019,0.625
"Poland, Republic of",2011,6.453980025250991,0.6000000000000001
"Poland, Republic of",2012,2.673885460679154,0.65
"Poland, Republic of",2013,3.4147150855362085,0.6
"Poland, Republic of",2014,2.5207054219231666,0.6
"Poland, Republic of",2015,4.948031277652827,0.6
"Poland, Republic of",2016,2.975970255071873,0.6
"Poland, Republic of",2017,1.130213396822617,0.6
"Poland, Republic of",2018,4.722383898389405,0.6
"Poland, Republic of",2019,1.5886576269577048,0.65
Portugal,1999,0.8749060387575811,0.05
Portugal,2000,3.88219580688504,0
Portugal,2001,1.3747992627244017,0.07500000000000001
Portugal,2002,2.3468988267613664,0.07500000000000001
Portugal,2003,1.9876255930449036,0.07500000000000001
Portugal,2004,1.7097298286805038,0.15
Portugal,2005,3.146470794295371,0.4
Portugal,2006,1.5471257435709007,0.2
Portugal,2007,2.4013040838256474,0.25
Portugal,2008,2.7199205445868637,0.25
Portugal,2009,2.330241389518142,0.25
Portugal,2010,1.550535521234369,0.25
Portugal,2011,3.459248906403194,0.2
Portugal,2012,4.927061623592243,0.2
Portugal,2013,2.8268129564282254,0.25
Portugal,2014,1.110910775854678,0.25
Portugal,2015,1.7593765389891978,0.25
Portugal,2016,0.7191029914360378,0.25
Portugal,2017,3.635290683314685,0.25
Portugal,2018,2.492742489817353,0.25
Portugal,2019,6.164714814491253,0.25
Qatar,2011,6.381057118317506,0.15
Qatar,2012,9.34504544650475,0.15
Qatar,2013,5.720476002926222,0.15
Qatar,2014,6.418837889625743,0.2
Qatar,2015,7.430639906408744,0.2
Qatar,2016,6.2754520359189065,0.2
Qatar,2017,15.739885323802238,0.2
Qatar,2018,7.021800324696056,0.2
Qatar,2019,3.348591832037875,0.2
Romania,1999,4.843835926216348,0.825
Romania,2000,6.148197068741246,0.825
Romania,2001,4.3794703932451196,0.8500000000000001
Romania,2002,3.399783670519853,0.55
Romania,2003,3.5504140234693584,0.325
Romania,2004,2.2344607254463122,0.275
Romania,2005,5.46798318491023,0.275
Romania,2006,7.668385597939301,0.275
Romania,2007,4.525099057046208,0.05
Romania,2008,3.7386859372514523,0.05
Romania,2009,6.227448381008033,0.05
Romania,2010,5.296369415601303,0.05
Romania,2011,5.604700937070157,0.05
Romania,2012,3.7856936529951986,0.05
Romania,2013,2.063282552513133,0.05
Romania,2014,1.8453293896444911,0.05
Romania,2015,6.919622978434695,0.05
Romania,2016,2.074580216733269,0.05
Romania,2017,4.029529823244089,0.05
Romania,2018,4.446692266649496,0.05
Romania,2019,5.630558510035479,0.05
Russian Federation,1999,2.586822283274817,0.9
Russian Federation,2000,6.466588583503173,0.9
Russian Federation,2001,8.360065220276097,0.75
Russian Federation,2002,3.9341740062130994,0.7749999999999999
Russian Federation,2003,5.082765633108252,0.7749999999999999
Russian Federation,2004,5.998304294100498,0.6
Russian Federation,2005,1.278028809192161,0.6499999999999999
Russian Federation,2006,5.284202757334962,0.675
Russian Federation,2007,6.848734154444797,0.675
Russian Federation,2008,15.389831770604406,0.5
Russian Federation,2009,6.009516359561398,0.2
Russian Federation,2010,2.953894598218073,0.425
Russian Federation,2011,1.901816679469101,0.425
Russian Federation,2012,2.21301059312727,0.4
Russian Federation,2013,1.1833629958636132,0.4
Russian Federation,2014,3.938873475664512,0.4
Russian Federation,2015,4.633459943845051,0.4
Russian Federation,2016,1.5639045353487826,0.4
Russian Federation,2017,2.942141612278026,0.425
Russian Federation,2018,2.369973025898829,0.575
Russian Federation,2019,2.106200005806466,0.55
Saudi Arabia,2006,4.905095582573733,0.625
Saudi Arabia,2007,4.187742751639684,0.625
Saudi Arabia,2008,7.548136424299341,0.625
Saudi Arabia,2009,5.0033688056590435,0.6000000000000001
Saudi Arabia,2010,5.020220791983179,0.675
Saudi Arabia,2011,3.208309599121811,0.7
Saudi Arabia,2012,3.7217787141060246,0.7
Saudi Arabia,2013,1.5884384018803468,0.725
Saudi Arabia,2014,1.747980488736047,0.725
Saudi Arabia,2015,3.927872093044347,0.825
Saudi Arabia,2016,2.146599896274319,0.825
Saudi Arabia,2017,9.175118158187551,0.875
Saudi Arabia,2018,3.891145585146227,0.875
Saudi Arabia,2019,2.337479905517999,0.875
Singapore,1999,5.573146993318946,0.2
Singapore,2000,6.65942630753346,0.225
Singapore,2001,13.597714353393453,0.175
Singapore,2002,5.536467276535363,0.175
Singapore,2003,2.6809925665228307,0.175
Singapore,2004,13.210104721189486,0.125
Singapore,2005,9.332621690519886,0.125
Singapore,2006,2.84919843355424,0.125
Singapore,2007,11.353849205249775,0.125
Singapore,2008,9.465670288382887,0.125
Singapore,2009,11.348645214405636,0.125
Singapore,2010,11.98366451428937,0.125
Singapore,2011,4.413577565476521,0.125
Singapore,2012,6.190738434056283,0.125
Singapore,2013,6.12537297764835,0.125
Singapore,2014,5.886944273206796,0.125
Singapore,2015,7.5243012197387085,0.125
Singapore,2016,6.056056743567331,0.125
Singapore,2017,7.842407031143943,0.125
Singapore,2018,4.69723613519499,0.125
Singapore,2019,14.289147996040125,0.125
"Slovenia, Republic of",1999,5.0977056476710105,0.55
"Slovenia, Republic of",2000,3.2324694038402613,0.5
"Slovenia, Republic of",2001,7.984838582236135,0.275
"Slovenia, Republic of",2002,6.101731031818972,0.225
"Slovenia, Republic of",2003,2.7009123888101203,0.175
"Slovenia, Republic of",2004,3.884904084910509,0.1
"Slovenia, Republic of",2005,1.9462237646333376,0.1
"Slovenia, Republic of",2006,2.1497257948979147,0.1
"Slovenia, Republic of",2007,3.8657713989693097,0.3
"Slovenia, Republic of",2008,1.8608953529799561,0.3
"Slovenia, Republic of",2009,3.4254157412150215,0.3
"Slovenia, Republic of",2010,3.4086750777154653,0.3
"Slovenia, Republic of",2011,1.33442404075063,0.35
"Slovenia, Republic of",2012,1.1785866663396851,0.35
"Slovenia, Republic of",2013,2.9380182916705557,0.35
"Slovenia, Republic of",2014,2.7888273712337153,0.35
"Slovenia, Republic of",2015,2.1393588011153106,0.425
"Slovenia, Republic of",2016,2.959437156172744,0.375
"Slovenia, Republic of",2017,3.261788271654862,0.375
"Slovenia, Republic of",2018,2.797257359375952,0.375
"Slovenia, Republic of",2019,2.0841950931267528,0.275
South Africa,1999,3.7763915179215743,0.625
South Africa,2000,3.1779763711780724,0.625
South Africa,2001,2.4466827207352715,0.625
South Africa,2002,1.2786601029781335,0.625
South Africa,2003,2.536520830283169,0.625
South Africa,2004,2.387017395829915,0.625
South Africa,2005,3.481865947299251,0.6
South Africa,2006,2.309349631268882,0.625
South Africa,2007,1.3058426313590343,0.625
South Africa,2008,4.57297583150265,0.575
South Africa,2009,4.086922692928156,0.575
South Africa,2010,2.8663600562930847,0.575
South Africa,2011,1.8867390430404658,0.625
South Africa,2012,2.661269627090516,0.7
South Africa,2013,2.6304511231099768,0.7
South Africa,2014,2.841595702530223,0.7
South Africa,2015,2.6049654654146432,0.7
South Africa,2016,1.1986461885236281,0.7
South Africa,2017,1.7516323929748623,0.75
South Africa,2018,2.1109067281846285,0.75
South Africa,2019,5.224195456732095,0.75
Spain,1999,3.121638212407733,0
Spain,2000,1.5482180958286647,0
Spain,2001,1.3899454930437374,0
Spain,2002,0.6418903741962666,0
Spain,2003,1.6205865044790735,0
Spain,2004,0.6191105669697947,0
Spain,2005,0.9225714682618278,0.05
Spain,2006,0.8440737977700601,0.05
Spain,2007,1.245558465233728,0.05
Spain,2008,3.867604430105442,0
Spain,2009,1.7464163833856174,0
Spain,2010,1.5001729287517998,0
Spain,2011,0.9092380650718774,0
Spain,2012,3.6144823111250246,0
Spain,2013,5.187974083724788,0
Spain,2014,1.720982010704799,0
Spain,2015,3.5738681083361925,0
Spain,2016,1.4409273911648508,0
Spain,2017,1.8215660446548194,0
Spain,2018,2.3616929632582466,0
Spain,2019,2.354451619897886,0.15
Sri Lanka,1999,3.2051958472493163,1
Sri Lanka,2000,2.1363697330809366,1
Sri Lanka,2001,4.350572340034994,1
Sri Lanka,2002,2.238554656375258,1
Sri Lanka,2003,2.514902720699467,1
Sri Lanka,2004,4.430574909534167,1
Sri Lanka,2005,2.8428951184099818,1
